textID,sentiment
f87dea47db,1
96d74cb729,1
eee518ae67,1
01082688c6,1
33987a8ee5,1
726e501993,1
261932614e,0
afa11da83f,1
e64208b4ef,1
37bcad24ca,1
24c92644a4,0
43b390b336,1
69d6b5d93e,0
5c1e0b61a1,1
504e45d9d9,1
ae93ad52a0,0
9fce30159a,0
00d5195223,1
33f19050cf,1
f7718b3c23,1
9ef44428d0,0
be634ebeb0,1
3dcf4f7e13,1
f0ef04109b,1
8be365118e,1
c50bdd4567,1
334954f215,0
b783916431,1
1fa8e6ad66,1
be38b29042,1
95701e8ed9,1
4dd58ecd2c,1
cf553cccd5,1
55c69c2d52,1
9b1a52cc02,1
cce5c4744a,1
c7f9d559e2,1
3d2478db59,0
6d846d7d50,0
599f51af6b,0
87daa62920,1
6506dc55ff,1
746d87f93e,1
ef7ef8e474,1
d3d7b13278,1
ddc07db84e,1
67afe60d31,1
17d18ba9ef,1
ab57d75f20,0
f0acd25d8e,1
cf3b068b03,1
d6c34fa875,1
614aed9113,1
dfa577d3c1,1
10dcbe4dfb,1
a0bfb12773,1
71f4a9b495,1
d33ed264b3,1
77f88ea9e2,1
fe1deac869,1
e591a725ef,1
2dbb28cc29,1
a7e4ad250a,1
7d87899024,0
461b51fa58,1
c31d79c440,0
32ee7ef6c2,1
29f805a7d2,1
d41fe360e4,1
a04c8c8695,1
25e42b2bf2,1
5843d17b1d,1
474d10ff48,1
38e69da3a1,1
972dc5787d,1
0ba6aaf9aa,0
7a81537034,1
311d2b185b,1
1e46d72ec6,1
390f169584,1
58129e4130,1
e6c9e5e3ab,1
cb5e709de8,1
a14b4ff440,1
5d57a5eda2,1
1e3561e921,1
c2ea5cb58b,1
cde0016d6d,0
5fc411e8d1,1
5ffb19ae8f,1
76da985a47,1
3a98aa4762,1
886545bbab,1
2afe118dc3,1
704c53f4cf,1
71fa60d9ff,1
c238c4dbb7,0
dc73e85417,1
af63915fa9,1
eb2fc4d281,1
f9382a1f7b,1
54670ca807,1
3ab338c459,1
c7c7f7f025,1
1256e6a4d2,1
990cdeae87,1
9a55d83c79,1
c8307a482d,1
0a21b662a4,1
297f7d9e0f,1
68901906a4,1
3112944847,1
8f8334ffa2,1
322546026e,1
e6c154f9be,0
e96d849b35,1
124e30d941,1
fbb5742bbb,1
e90acf3c42,1
0b0944285d,1
a11da2d3bf,1
161bfc7c8a,1
4a65010643,1
1b460c82f0,1
43e91a5488,1
410dd99aa3,1
b3eadfc565,1
480894125b,1
001617fca4,1
52f2f23473,1
e7e27b0c91,1
834dc73c0c,1
aeb0e9d730,1
c672c9da1d,1
cbee1946d3,1
b1999f0951,1
25510fbf89,1
bcb9426abb,1
0d29624200,1
3f0f5891ab,1
0b34e66ea3,1
11de8c0456,0
d5712716e9,1
3f90f95beb,1
c108e09b19,1
7223fdccc2,1
f254748cdb,1
256453d14f,1
8fd01857a9,1
37227c0dbf,1
20aff2fcb1,0
ca223af36e,1
90977e9614,1
433b1ab9ea,1
37771d1bc1,1
fa99046452,1
14760477ad,0
da908a6635,1
2053a455e9,1
1ea547383b,1
6634c62acf,1
c7240790da,1
08ede23635,1
4e87dcff0e,1
4b0b53bc98,1
fd3a622954,1
e34af4fd97,1
0e8aa10a4e,1
29148dc95c,1
56a15cf6ca,0
b99969c2fb,1
b0f3142cb4,1
5ff525b74b,1
4fd80e66e0,1
e77a8f8f2d,1
4ea7102112,1
6a14956779,1
7c2fcb712e,1
cdd172d6a7,1
d2a21b3cb7,1
799e17e7a7,1
0a49cdbdf6,1
4a13c1093d,1
9407ce6ccc,1
820f19ca44,1
683bb73c09,1
0d14593b11,1
9ac13b3739,1
16ee71e6df,1
f5d47f04f5,1
e131c496a2,1
